id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
RS-MM-000974,"Smyth","Charles Piazzi","Birt","WR",1869-05-03,"3 May 1869","","","MM/15/63, Royal Society","","","RS-MM-000974.xml"
RS-LP-000974,"Acard","Francois","Collinson","Peter",1762-09-07,"7 September 1762","","","L&P/4/156, Royal Society","","","RS-LP-000974.xml"
RS-MM-000975,"Stokes","George Gabriel","Stokes","George Gabriel",1873-07-04,"4 July 1873","","","MM/15/67, Royal Society","","","RS-MM-000975.xml"
RS-LP-000975,"Belgrado","Jacopo","","",1762-12-03,"3 December 1762","","","L&P/4/158, Royal Society","","","RS-LP-000975.xml"
RS-MM-000976,"Wren","Christopher","Evelyn","John",1883-08-27,"27 August 1883","","","MM/15/68, Royal Society","","","RS-MM-000976.xml"
RS-LP-000976,"Taylor","John","Lyttelton","Charles",1763-04-28,"28 April 1763","","","L&P/4/159, Royal Society","","","RS-LP-000976.xml"
RS-MM-000977,"Broun","John Allan","Stokes","George Gabriel",1877-06-04,"4 June 1877","","","MM/15/69, Royal Society","","","RS-MM-000977.xml"
RS-LP-000977,"Ferguson","James","Birch","Thomas",1763-05-05,"5 May 1763","","","L&P/4/160, Royal Society","","","RS-LP-000977.xml"
RS-LP-000978,"Stone","Edward","Parker","George",1763-04-25,"25 April 1763","","","L&P/4/161, Royal Society","","","RS-LP-000978.xml"
RS-MM-000978,"Weldon","Walter Frank Raphael","Galton","Francis",1893-11-27,"27 November 1893","","","MM/15/85, Royal Society","","","RS-MM-000978.xml"
RS-LP-000979,"Edwards","George","Birch","Thomas",1763-06-15,"15 June 1763","","","L&P/4/162, Royal Society","","","RS-LP-000979.xml"
RS-MM-000979,"J T Cunningham","Marine Biological Association of the United Kingdom","","",1893-12-22,"22 December 1893","","","MM/15/86, Royal Society","","","RS-MM-000979.xml"
RS-LP-000980,"Reid","Arthur","Royal Society","",1763-06-15,"15 June 1763","","","L&P/4/164, Royal Society","","","RS-LP-000980.xml"
RS-MM-000980,"Weldon","Walter Frank Raphael","Galton","Francis",1894-01-15,"15 January 1894","","","MM/15/89, Royal Society","","","RS-MM-000980.xml"
RS-LP-000981,"Dunn","Samuel","Birch","Thomas",1763-01-01,"1763","","","L&P/4/165, Royal Society","","","RS-LP-000981.xml"
RS-MM-000981,"Weldon","Walter Frank Raphael","Galton","Francis",1894-01-22,"22 January 1894","","","MM/15/90, Royal Society","","","RS-MM-000981.xml"
RS-LP-000982,"Adanson","Michel","Parker","George",1763-06-17,"17 June 1763","","","L&P/4/166, Royal Society","","","RS-LP-000982.xml"
RS-MM-000982,"Weldon","Walter Frank Raphael","Harrison","R",1897-02-18,"18 February 1897","","","MM/15/91, Royal Society","","","RS-MM-000982.xml"
RS-LP-000983,"","","Parker","George",1763-11-06,"6 November 1763","","","L&P/4/167, Royal Society","","","RS-LP-000983.xml"
RS-MM-000983,"Weldon","Walter Frank Raphael","Harrison","R",1897-03-02,"2 March 1897","","","MM/15/92, Royal Society","","","RS-MM-000983.xml"
RS-LP-000984,"White","Thomas","Birch","Thomas",1763-06-22,"22 June 1763","","","L&P/4/168, Royal Society","","","RS-LP-000984.xml"
RS-MM-000984,"Bateson","William","Galton","Francis",1897-11-11,"11 November 1897","","","MM/15/93, Royal Society","","","RS-MM-000984.xml"
RS-LP-000985,"Ferguson","James","Parker","George",1763-11-16,"16 November 1763","","","L&P/4/169, Royal Society","","","RS-LP-000985.xml"
RS-MM-000985,"Foster","Michael","Harrison","R",1899-11-01,"November 1899","","","MM/15/94, Royal Society","","","RS-MM-000985.xml"
RS-LP-000986,"Hirst","William","Birch","Thomas",1762-11-03,"3 November 1762","","","L&P/4/170, Royal Society","","","RS-LP-000986.xml"
RS-MM-000986,"","","Harrison","R",1897-12-02,"2 December 1897","","","MM/15/95, Royal Society","","","RS-MM-000986.xml"
RS-LP-000987,"Gulston","Edward","Carnac","John",1762-04-21,"21 April 1762","","","L&P/4/172, Royal Society","","","RS-LP-000987.xml"
RS-MM-000987,"Galton","Francis","Foster","Michael",1899-12-14,"14 December 1899","","","MM/15/96, Royal Society","","","RS-MM-000987.xml"
RS-MM-000988,"Weldon","Walter Frank Raphael","Foster","Michael",1900-01-12,"12 January 1900","","","MM/15/97, Royal Society","","","RS-MM-000988.xml"
RS-LP-000988,"Gulston","Edward","Carnac","John",1762-04-21,"21 April 1762","","","L&P/4/173, Royal Society","","","RS-LP-000988.xml"
RS-MM-000989,"Weldon","Walter Frank Raphael","Assistant Secretary of the Royal Society","",1900-01-20,"20 January 1900","","","MM/15/98, Royal Society","","","RS-MM-000989.xml"
RS-LP-000989,"Colebrooke","Josiah","Parker","George",1763-11-23,"23 November 1763","","","L&P/4/174, Royal Society","","","RS-LP-000989.xml"
RS-LP-000990,"Bevis","John","Wilson","Benjamin",1763-12-06,"6 December 1763","","","L&P/4/175, Royal Society","","","RS-LP-000990.xml"
RS-MM-000990,"Meldola","Raphael","Royal Society","",1900-01-22,"22 January 1900","","","MM/15/99, Royal Society","","","RS-MM-000990.xml"
RS-LP-000991,"Bryce","Reverand","Douglas","James",1764-01-11,"11 January 1764","","","L&P/4/185, Royal Society","","","RS-LP-000991.xml"
RS-MM-000991,"Pearson","Karl","Royal Society","",1900-01-23,"23 January 1900","","","MM/15/100, Royal Society","","","RS-MM-000991.xml"
RS-LP-000992,"Dunn","Samuel","Birch","Thomas",1764-01-13,"13 January 1764","","","L&P/4/187, Royal Society","","","RS-LP-000992.xml"
RS-MM-000992,"Thiselton-Dyer","William Turner","Foster","Michael",1900-01-23,"23 January 1900","","","MM/15/101, Royal Society","","","RS-MM-000992.xml"
RS-LP-000993,"Borlase","William","Douglas","James",1763-12-31,"31 December 1763","","","L&P/4/188, Royal Society","","","RS-LP-000993.xml"
RS-MM-000993,"","","Royal Society","",1901-01-14,"14 January 1901","","","MM/15/103, Royal Society","","","RS-MM-000993.xml"
RS-LP-000994,"Wardale","Robert","Douglas","James",1763-10-27,"27 October 1763","","","L&P/4/189, Royal Society","","","RS-LP-000994.xml"
RS-MM-000994,"Lockyer","Joseph Norman","Archibald Geikie","Secretary of the Royal Society",1906-04-03,"3 April 1906","","","MM/15/104, Royal Society","","","RS-MM-000994.xml"
RS-LP-000995,"Coltellini","Ludovico","Royal Society","",1764-01-02,"2 January 1764","","","L&P/4/190, Royal Society","","","RS-LP-000995.xml"
RS-MM-000995,"","","Archibald Geikie","Secretary of the Royal Society",1906-12-26,"26 December 1906","","","MM/15/107, Royal Society","","","RS-MM-000995.xml"
RS-LP-000996,"Tucker","Josiah","Birch","Thomas",1764-01-01,"1764","","","L&P/4/193, Royal Society","","","RS-LP-000996.xml"
RS-MM-000996,"Faraday","Michael","Watson","HH",1839-04-11,"11 April 1839","","","MM/15/109, Royal Society","","","RS-MM-000996.xml"
RS-LP-000997,"Costa","Emanuel Mendes da","Birch","Thomas",1764-02-24,"24 February 1764","","","L&P/4/194, Royal Society","","","RS-LP-000997.xml"
RS-MM-000997,"Sprengel","Hermann Johann Phillipp","Abel","Frederick Augustus",1891-11-25,"25 November 1891","","","MM/16/1, Royal Society","","","RS-MM-000997.xml"
RS-MM-000998,"Strutt","John William","Sprengel","Hermann Johann Phillipp",1892-03-30,"30 March 1892","","","MM/16/2, Royal Society","","","RS-MM-000998.xml"
RS-LP-000998,"Dunn","Samuel","Birch","Thomas",1764-03-08,"8 March 1764","","","L&P/4/195, Royal Society","","","RS-LP-000998.xml"
RS-MM-000999,"Strutt","John William","Foster","George Carey",1892-04-12,"12 April 1892","","","MM/16/3, Royal Society","","","RS-MM-000999.xml"
RS-LP-000999,"Wolfe","N M","Baker","Henry",1764-01-01,"1764","","","L&P/4/198, Royal Society","","","RS-LP-000999.xml"
RS-LP-001000,"Berthoud","Ferdinand","","",1764-03-05,"5 March 1764","","","L&P/4/199, Royal Society","","","RS-LP-001000.xml"
RS-MM-001000,"Sprengel","Hermann Johann Phillipp","Strutt","John William",1892-06-03,"3 June 1892","","","MM/16/4, Royal Society","","","RS-MM-001000.xml"
