id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0683,"Darwin","Emma","Darwin","H. E.",1866-06-05,"[5 June 1866]","Down","","DAR 219.9: 44","","","FL-0683.xml"
FL-0684,"Darwin","Emma","Darwin","H. E.",1866-09-15,"[15 September 1866]","Down","","DAR 219.9: 45","","","FL-0684.xml"
FL-0685,"Darwin","Emma","Darwin","H. E.",1866-09-24,"[24 September 1866]","","","DAR 219.9: 46","","","FL-0685.xml"
FL-0686,"Darwin","Emma","Darwin","H. E.",1866-09-26,"[26 September 1866]","Down","","DAR 219.9: 47","","","FL-0686.xml"
FL-0687,"Darwin","Emma","Darwin","H. E.",1866-11-06,"[6–20 November 1866]","","","DAR 219.9: 48","","","FL-0687.xml"
FL-0688,"Darwin","Emma","Darwin","H. E.",1866-12-01,"[1 December 1866]","","","DAR 219.9: 49","","","FL-0688.xml"
FL-0689,"Darwin","Emma","Darwin","H. E.",1867-04-14,"[14 April 1867]","Down","","DAR 219.9: 50","","","FL-0689.xml"
FL-0690,"Darwin","Emma","Darwin","H. E.",1868-04-13,"[13 April 1868]","Down","","DAR 219.9: 51","","","FL-0690.xml"
FL-0691,"Darwin","Emma","Darwin","H. E.",1867-04-15,"[c. 15 April 1867]","","","DAR 219.9: 52","","","FL-0691.xml"
FL-0692,"Darwin","Emma","Darwin","H. E.",1867-04-20,"[c. 20 April 1867]","","","DAR 219.9: 53","","","FL-0692.xml"
FL-0693,"Darwin","Emma","Darwin","H. E.",1867-07-28,"[28 July 1867]","Down","","DAR 219.9: 54","","","FL-0693.xml"
FL-0694,"Darwin","Emma","Darwin","H. E.",1868-07-30,"[c. 30 July 1868]","","","DAR 219.9: 55","","","FL-0694.xml"
FL-0695,"Darwin","Emma","Darwin","H. E.",1868-01-26,"[26 January 1868]","Down","","DAR 219.9: 56","","","FL-0695.xml"
FL-0696,"Darwin","Emma","Darwin","H. E.",1868-03-01,"[spring 1868]","Down","","DAR 219.9: 57","","","FL-0696.xml"
FL-0697,"Darwin","Emma","Darwin","H. E.",1868-05-28,"[28 May 1868]","Down.","","DAR 219.9: 58","","","FL-0697.xml"
FL-0698,"Darwin","Emma","Darwin","H. E.",1868-09-05,"[5 September 1868]","","","DAR 219.9: 59","","","FL-0698.xml"
FL-0699,"Darwin","Emma","Darwin","H. E.",1868-09-09,"[9 September 1868]","Down","","DAR 219.9: 60","","","FL-0699.xml"
FL-0700,"Darwin","Emma","Darwin","H. E.",1868-09-28,"28 September [1868]","Down","","DAR 219.9: 61","","","FL-0700.xml"
