id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
TALBOT6242,"Talbot","Mary Thereza","Talbot","William Henry Fox",1849-07-03,"3 Jul 1849","","","","","","TALBOT6242.xml"
TALBOT6243,"Smith","Barnett","Talbot","William Henry Fox",1849-07-04,"4 Jul 1849","","","","","","TALBOT6243.xml"
TALBOT6244,"Watkins","& HILL","Talbot","William Henry Fox",1849-07-05,"5 Jul 1849","","","","","","TALBOT6244.xml"
TALBOT6245,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-07-05,"5 Jul 1849","","","","","","TALBOT6245.xml"
TALBOT6246,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-07-06,"6 Jul 1849","","","","","","TALBOT6246.xml"
TALBOT6247,"Talbot","Mary Thereza","Talbot","William Henry Fox",1849-07-10,"10 Jul 1849","","","","","","TALBOT6247.xml"
TALBOT6248,"Talbot","William Henry Fox","Gaisford","née Feilding, Henrietta Horatia Maria",1849-07-09,"9 Jul 1849","","","","","","TALBOT6248.xml"
TALBOT6249,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-07-10,"10 Jul 1849","","","","","","TALBOT6249.xml"
TALBOT6250,"Talbot","Mary Thereza","Talbot","William Henry Fox",1849-07-09,"9 Jul 1849","","","","","","TALBOT6250.xml"
TALBOT6251,"Talbot","William Henry Fox","Gaisford","née Feilding, Henrietta Horatia Maria",1849-07-11,"11 Jul 1849","","","","","","TALBOT6251.xml"
TALBOT6252,"Tait","Peter Guthrie","Talbot","William Henry Fox",1863-02-06,"6 Feb 1863","","","","","","TALBOT6252.xml"
TALBOT6253,"Tait","Peter Guthrie","Talbot","William Henry Fox",1866-01-05,"5 Jan 1866","","","","","","TALBOT6253.xml"
TALBOT6254,"Talbot","William Henry Fox","Cattermole","Richard",1849-06-25,"25 Jun 1849","","","","","","TALBOT6254.xml"
TALBOT6255,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-07-26,"26 Jul 1849","","","","","","TALBOT6255.xml"
TALBOT6256,"Haigh","Daniel Henry","Talbot","William Henry Fox",1876-04-07,"7 Apr 1876","","","","","","TALBOT6256.xml"
TALBOT6257,"Atwood","Henry Adams Sergison","Talbot","William Henry Fox",1849-07-29,"29 Jul 1849","","","","","","TALBOT6257.xml"
TALBOT6258,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-08-03,"3 Aug 1849","","","","","","TALBOT6258.xml"
TALBOT6259,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1849-08-06,"6 Aug 1849","","","","","","TALBOT6259.xml"
TALBOT6260,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-08-09,"9 Aug 1849","","","","","","TALBOT6260.xml"
TALBOT6261,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1849-08-09,"9 Aug 1849","","","","","","TALBOT6261.xml"
TALBOT6262,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-08-22,"22 Aug 1849","","","","","","TALBOT6262.xml"
TALBOT6263,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-09-04,"4 Sep 1849","","","","","","TALBOT6263.xml"
